,country_code,country,type_of_document,date,backend_status,current,version_number,url,comment,annex_type,income_group,region,eu27,ghg_total,ghg_transport,mena,document_path
80,CRI,Costa Rica,Updated NDC,2020-12-29 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/Contribucio%CC%81n%20Nacionalmente%20Determinada%20de%20Costa%20Rica%202020%20-%20Versio%CC%81n%20Completa.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,8.979111405,5.964751368,0,../data/downloaded_documents/998f3ff7cc23504457b2b6635a957ba8620f4c2f01971d89c0a7ae3476fb06d6.pdf
81,CIV,Côte D'Ivoire,1st NDC,2016-10-25 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_CI_22092015.pdf,,Non-Annex I,Middle-income,Africa,0,13.55514981,3.6247075,0,../data/downloaded_documents/25bdd6bddde87bfc862dd18411415519971924e23aea2dc7da1b122eb3218346.pdf
82,CIV,Côte D'Ivoire,2nd NDC,2022-05-09 00:00:00,uploaded,x,NDC 2.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_CIV_2022.pdf,,Non-Annex I,Middle-income,Africa,0,13.55514981,3.6247075,0,../data/downloaded_documents/fff905457c2c09a89de4d54d925a22b30633dbfcdd5900991b93bf47aba863d2.pdf
83,CUB,Cuba,1st NDC,2016-12-30 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Republic%20of%20Cuba-NDCs-Nov2015.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,31.04343916,1.3667065,0,../data/downloaded_documents/68fe18026fd94ce0fcd322d2713b7fe9af50ae64122762ca443cdfe9e8351081.pdf
84,CUB,Cuba,Updated NDC,2020-09-17 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/Cuban%20First%20NDC%20Summary%20(Updated%20submission).pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,31.04343916,1.3667065,0,../data/downloaded_documents/292b3cf6cd20280cb1b80f5e466a6c24aae533cbb45ece16d49c1e6d372c7592.pdf
85,CZE,Czech Republic,Updated NDC,2018-01-15 00:00:00,,covered by EU NDC,,https://unfccc.int/files/na/application/pdf/cze_climate_protection_policy_summary.pdf,,Annex I,High-income,Europe,EU27,105.6931967,18.19596267,0,../data/downloaded_documents/4f77b4e95b9b1236b12bc1dc38cfaa7c5ddb082d5acaf903bbc8b1c7cd372007.pdf
86,CZE,Czech Republic,LTS,2018-01-15 00:00:00,,x,LTS 1.0,https://unfccc.int/files/na/application/pdf/cze_climate_protection_policy_summary.pdf,,Annex I,High-income,Europe,EU27,105.6931967,18.19596267,0,../data/downloaded_documents/4f77b4e95b9b1236b12bc1dc38cfaa7c5ddb082d5acaf903bbc8b1c7cd372007.pdf
87,PRK,Democratic People's Republic of Korea,1st NDC,2016-10-03 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/DPRK-INDC%20by%202030.pdf,,Non-Annex I,Low-income,Asia,0,42.17296771,1.5383676,0,../data/downloaded_documents/c2b7cfb9e0f92f3adf2dafbc5b89b371a711036feea449db7ad3ccfd0b9444b2.pdf
88,PRK,Democratic People's Republic of Korea,Updated NDC,2019-09-19 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/2019.09.19_DPRK%20letter%20to%20SG%20special%20envoy%20for%20NDC.pdf,,Non-Annex I,Low-income,Asia,0,42.17296771,1.5383676,0,../data/downloaded_documents/7b91e9b8521aa5ddb69b7b95dd2f9937f89186f537a05da33c01d23e73b83ef9.pdf
89,COD,Democratic Republic of the Congo,1st NDC,2017-12-13 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/CPDN%20-%20R%C3%A9p%20D%C3%A9m%20du%20Congo.pdf,,Non-Annex I,Low-income,Africa,0,2.98404416,2.226808,0,../data/downloaded_documents/73ec65a83ab699314cd4e46cb44cd7d0943c4e62789178e4e88a6035268ee1a3.pdf
